Valores_no_ajustados;Modelo_inv_Fijos;Modelo_inv_Restringidos
1627.53;1622.22;1622.47
1576.54;1598.44;1607.61
988.86;997.90;1002.33
1647.78;1660.06;1666.37
1056.39;1058.86;1059.72
1575.63;1568.38;1569.08
1107.08;1095.75;1094.47
1603.34;1598.25;1599.49
1597.64;1599.13;1602.29
1215.75;1219.43;1223.22
1530.98;1521.52;1521.07
980.00;982.09;983.59
1452.84;1448.95;1449.53
787.89;768.29;763.36
1628.10;1613.58;1611.41
549.59;559.64;563.55
1560.09;1549.88;1548.81
1447.10;1423.95;1418.67
1656.89;1637.25;1633.25
1605.12;1581.60;1577.20
1729.69;1701.12;1695.47
1625.42;1593.94;1587.05
1658.53;1660.71;1663.64
922.73;903.74;899.01
1094.00;1096.37;1098.37
1339.40;1326.80;1324.66
857.26;844.02;841.17
1119.35;1122.12;1118.89
836.62;799.61;791.12
1292.06;1255.76;1247.12
728.11;693.55;684.87
1402.74;1398.12;1398.98
1412.69;1403.83;1403.15
1109.01;1099.05;1097.58
1508.52;1502.25;1503.32
1462.79;1457.70;1458.94
1483.11;1481.72;1483.79
815.06;813.44;814.48
1388.94;1385.04;1386.40
1133.32;1137.30;1139.64
1132.87;1122.29;1121.02
1359.35;1357.34;1358.27
1359.96;1355.02;1355.73
1284.42;1286.72;1289.31
1276.24;1278.49;1280.31
1092.93;1095.89;1097.74
1003.97;1004.08;1005.69
1403.32;1384.28;1381.18
1360.77;1356.47;1357.06
1203.83;1202.41;1203.98
1341.90;1341.48;1343.83
1253.83;1284.62;1284.29
1275.22;1294.56;1302.35
856.33;847.56;845.87
722.67;733.62;737.67
1553.66;1555.85;1558.96
1655.53;1658.43;1661.53
1536.83;1560.68;1569.95
1397.77;1386.88;1385.43
1409.43;1413.96;1417.48
399.96;377.89;372.05
465.29;461.24;460.85
1225.35;1216.42;1219.49
1359.10;1360.26;1362.74
338.42;437.70;436.98
851.46;846.30;845.61
1208.93;1198.65;1197.43
1359.68;1361.03;1362.99
1482.06;1474.45;1473.28
1157.79;1166.92;1170.11
357.91;388.92;398.80
1142.50;1197.74;1204.28
1274.94;1280.04;1283.33
1203.55;1220.17;1227.11
1443.46;1457.26;1462.84
1382.16;1355.57;1350.13
912.56;877.45;868.92
1359.96;1332.36;1326.46
956.30;944.04;941.87
1383.13;1378.61;1379.18
1259.27;1264.92;1267.43
1007.14;1006.58;1008.28
864.02;867.46;869.75
1391.93;1411.56;1413.36
1372.90;1383.69;1388.90
1297.91;1308.66;1313.74
1236.99;1244.98;1249.02
1361.86;1387.44;1396.41
1328.12;1380.45;1398.00
1036.07;1109.75;1106.80
1328.59;1299.58;1293.89
876.43;899.56;908.27
1366.29;1382.08;1388.60
1374.78;1354.44;1349.47
1194.57;1219.38;1228.38
525.71;599.05;598.63
724.99;726.47;728.15
1265.39;1299.74;1300.02
654.33;642.01;637.42
926.57;931.25;933.50
1522.48;1561.39;1568.43
1411.89;1471.62;1477.95
1573.30;1623.73;1640.75
1630.54;1643.42;1649.67
1429.69;1436.52;1440.57
832.26;845.70;850.94
860.20;874.62;877.66
1289.95;1306.12;1312.47
1140.31;1136.86;1136.63
1228.72;1242.19;1244.70
1123.17;1167.44;1169.14
1131.52;1138.38;1141.05
1083.51;1091.86;1093.56
1136.34;1148.20;1151.96
1046.84;1053.45;1056.01
1187.77;1176.23;1173.96
1222.62;1212.45;1211.05
1263.46;1274.32;1278.14
1017.49;1021.05;1022.75
628.55;629.17;627.61
1214.31;1273.07;1273.90
1324.08;1331.79;1334.98
971.67;978.14;980.76
