Valores_no_ajustados;Modelo_inv_Fijos;Modelo_inv_Restringidos
2955.07;2954.15;2953.51
2912.18;2839.58;2817.54
2116.88;2083.69;2073.03
2691.44;2641.77;2626.58
2597.71;2591.27;2589.19
2824.69;2818.77;2817.05
2618.44;2629.88;2632.89
2798.03;2789.5;2786.46
2869.89;2845.57;2837.93
2689.34;2660.04;2650.9
1866.00;1870.5;1871.52
2471.13;2459.25;2455.64
2357.16;2353.6;2352.18
2645.62;2685.85;2697.63
2634.74;2650.58;2655.75
945.96;916.26;906.88
2739.82;2747.77;2750.27
2675.02;2717.16;2729.78
2564.20;2596.8;2606.36
2774.45;2809.01;2819.5
2819.47;2863;2876.48
2797.19;2851.72;2868.18
2639.34;2616.37;2609.29
2300.92;2338.66;2350
2370.56;2355.05;2350.23
2539.35;2556.12;2561.21
2303.35;2325.56;2332.36
2606.27;2630.48;2638.33
2802.00;2868.93;2889.2
2450.14;2515.29;2535.94
2367.06;2433.93;2454.69
2648.09;2641.83;2639.72
2706.96;2714.16;2715.74
2901.81;2912.85;2916.33
2799.23;2791.32;2788.68
2819.68;2810.17;2807.13
2558.10;2541.96;2536.95
2499.50;2491.64;2489.1
2499.73;2488.48;2485.18
2281.39;2263.98;2258.33
2745.27;2755.52;2758.52
2781.52;2774.15;2771.89
2716.71;2711.56;2709.79
2614.66;2595.17;2588.92
2691.84;2677.86;2673.46
2572.69;2558.43;2553.95
2773.31;2761.05;2757.14
2545.92;2571.71;2579.08
2515.82;2511.97;2510.52
2706.68;2695.65;2691.84
2767.56;2749.46;2743.77
2736.37;2740.49;2741.48
2711.65;2649.44;2630.74
2822.32;2836.84;2840.87
2760.51;2729.77;2720.05
2854.40;2829.44;2821.94
2756.78;2732.47;2724.99
2424.04;2351.33;2329.06
2805.70;2817.67;2821.11
2780.81;2753.73;2745.23
1578.56;1626.38;1640.35
1801.38;1805.41;1806.32
2601.33;2575.85;2568.36
2652.86;2633.85;2627.85
1028.33;1038.67;1041.07
1768.18;1773.81;1775.42
2200.29;2211.45;2214.33
2335.57;2320.47;2315.75
2592.15;2603.25;2606.04
2452.48;2426.86;2419.22
2014.30;1938.54;1914.83
2664.41;2614.84;2599.41
2645.40;2619.95;2612.02
2594.07;2541.09;2524.43
2890.03;2845.91;2832.49
2505.67;2551.87;2564.86
2037.75;2105.77;2126.16
2788.06;2833.96;2848.03
2701.04;2717.83;2722.99
2774.72;2770.26;2768.83
2759.91;2739.04;2733
2528.78;2517.07;2512.95
2256.21;2238.52;2233.02
2794.39;2781.12;2776.9
2682.23;2641.75;2629.22
2735.12;2696.22;2684.02
2682.06;2650.66;2640.93
2806.35;2736.56;2715.04
2734.37;2597.56;2555.47
2724.87;2751.46;2759.07
2755.19;2810.31;2823.89
2434.18;2366.31;2345.39
2737.31;2686.89;2671.23
2739.21;2778.99;2790.88
2709.10;2638.41;2616.81
2552.83;2559.8;2561.3
2292.39;2279.67;2275.62
2677.42;2676.89;2676.45
2620.18;2658.31;2669.31
2612.68;2595.41;2590.02
2606.29;2552.28;2535.52
2548.52;2501.17;2486.26
2494.63;2361.09;2320.24
2448.85;2400.88;2385.86
2552.56;2521.13;2511.38
2508.82;2468.21;2455.62
2448.69;2425.64;2418.36
2610.44;2560.98;2545.74
2653.76;2654.57;2655.1
2626.99;2609.72;2603.74
2541.35;2530.37;2526.56
2533.20;2513.28;2506.87
2585.17;2572.6;2568.53
2557.46;2528.75;2519.74
2489.04;2469.9;2463.76
2628.02;2647.35;2652.76
2563.97;2575.58;2578.9
2725.74;2696.1;2686.93
2279.96;2268.74;2264.65
1768.89;1781.62;1785.41
2658.32;2654.53;2652.9
2687.46;2662.93;2655.27
2391.59;2371.46;2365.17
