Valores_no_ajustados;Modelo_inv_Fijos;Modelo_inv_Restringidos
1451.673522;1436.688263;1436.841115
1428.789363;1422.418801;1420.269025
1146.833368;1132.232418;1131.286807
1436.425724;1422.190953;1420.783062
1390.552087;1365.805454;1365.877164
1428.995529;1406.894182;1406.939859
1441.970764;1327.530439;1328.913512
1004.200523;918.5188283;919.033422
1429.356368;1409.466317;1408.898503
1427.838069;1406.266781;1405.556417
454.5228359;326.037622;327.349483
1460.922919;1449.406304;1449.177436
904.8476188;873.6664565;873.8389853
1181.477015;1057.909525;1060.283046
1303.556567;1278.571474;1279.301591
2.129361894;-2.108144823;-3.027978717
1263.345527;1239.905835;1240.427624
1409.254344;1378.758453;1380.373804
1039.327837;1003.672308;1005.0065
1432.539806;1401.483529;1402.882844
1426.715635;1392.995143;1394.661004
1430.225022;1397.95525;1399.980699
1437.389671;1417.907162;1417.377963
1447.24766;1418.763247;1420.215683
1425.323648;1404.800598;1404.507661
1271.545239;1242.549633;1243.333963
1466.070767;1444.802506;1445.677105
1443.214548;1420.779766;1421.759232
1438.752337;1407.220857;1409.541172
1453.865594;1419.719418;1422.122179
1453.136221;1416.975631;1419.374235
1427.579058;1406.610993;1406.616214
1437.094541;1372.386264;1373.166906
1421.261621;1393.255179;1393.874337
1451.110264;1434.671995;1434.575682
1414.603879;1394.994145;1394.888473
1430.242832;1414.3252;1413.98352
1430.034271;1415.802209;1415.692337
1188.866921;1164.41633;1164.320679
1450.383363;1441.188406;1440.709407
1392.109749;1345.904162;1346.647426
1408.607788;1385.059449;1385.062716
1452.840987;1432.019264;1432.042355
1449.837205;1416.251132;1415.973696
1429.089026;1408.41245;1408.20364
1436.741561;1414.279654;1414.071777
1400.21533;1360.349508;1360.36857
1429.586925;1295.353394;1297.368578
1437.959927;1370.524292;1371.02869
1408.881157;1333.974771;1334.313643
1413.59874;1385.06343;1384.761948
1449.578105;1423.356483;1423.72692
1441.02397;1429.013001;1427.213975
1445.411459;1426.676659;1427.305473
1439.614999;1430.36254;1429.47829
1433.13163;1420.316979;1419.724627
1441.828947;1427.746344;1427.131656
1433.140313;1426.041588;1423.849664
1444.274019;1424.095978;1424.683697
1430.176623;1409.683582;1409.030404
1422.86298;1252.72731;1255.75755
1396.708045;1346.868642;1347.463964
1371.209271;1353.247606;1352.66432
1399.897028;1372.342384;1372.000699
1.040864435;1.238331605;1.513310177
485.7768356;448.1592147;448.6720588
1436.478279;1321.747212;1323.1297
1450.876573;1434.419097;1434.104145
1442.904905;1310.459727;1311.988638
1429.209312;1407.371109;1406.819432
1338.148157;1302.381803;1300.270463
1452.706683;1439.358165;1437.928426
1429.966643;1420.678345;1420.052621
1441.686924;1433.048518;1431.471451
1449.650678;1429.008036;1427.871804
1421.717113;1220.432191;1223.643523
973.3779549;848.4187446;851.6598964
1453.768672;1416.496908;1418.24861
1476.194986;1449.659827;1450.40737
1478.332769;1460.943654;1460.966627
1472.212032;1459.539166;1459.056816
1470.808845;1454.347418;1454.078657
1480.531498;1467.031626;1466.603595
1456.067671;1441.418898;1441.140164
1432.137085;1424.332839;1423.166035
1249.508054;1245.358276;1244.242321
1474.451258;1460.65801;1459.810025
1474.595362;1468.846499;1466.753546
1436.462784;1430.473015;1426.224143
1439.738122;1404.643707;1405.802891
1464.655797;1498.14712;1500.458202
1476.972531;1470.837247;1468.779945
1471.700199;1457.522999;1456.099324
1464.125235;1438.05179;1439.581301
1451.449754;1444.422824;1442.30575
1463.092442;1443.624076;1444.011419
741.661725;728.9031583;728.6311451
1469.088832;1452.302737;1452.452571
1285.480476;1143.034182;1145.514263
1481.386215;1458.496388;1458.164237
1475.349791;1464.189025;1462.610163
1467.871899;1453.793512;1452.453125
1252.515845;1253.226144;1249.061559
1466.617031;1445.025565;1443.702341
1480.84298;1463.227518;1462.404489
1467.16027;1450.158628;1449.056729
1480.721142;1463.185553;1462.627425
1482.951847;1468.55098;1467.149444
1482.386348;1467.228839;1467.470079
1457.894759;1438.80198;1438.403443
1415.874574;1382.257677;1382.24253
1221.506284;1189.85397;1189.551817
1460.985908;1436.591029;1436.435204
1470.048807;1452.362337;1451.649506
1306.330865;1277.000133;1276.693472
1365.211817;1264.674443;1266.196965
1458.916493;1401.423898;1402.314331
1467.141321;1442.712865;1442.04476
806.5671405;719.4883756;719.9155432
1118.383119;1085.425596;1086.122267
1441.163563;1427.341218;1427.352297
1428.126202;1418.037361;1417.386414
1429.540801;1425.758189;1425.178019
