Valores_no_ajustados;Modelo_inv_Fijos;Modelo_inv_Restringidos
1511.87;1600.63;1600.92
1517.54;1620.78;1629.78
972.53;1003.11;1007.47
1569.88;1615.42;1621.64
1030.72;1044.69;1045.54
1566.63;1585.24;1586.00
1104.44;1123.44;1122.25
1551.08;1572.30;1573.58
1553.66;1581.82;1584.97
1219.70;1254.48;1258.25
1545.17;1569.96;1569.59
972.76;996.95;998.43
1445.34;1454.78;1455.39
753.37;755.58;750.81
1554.82;1583.79;1581.73
484.99;515.52;519.34
1580.63;1606.14;1605.15
1386.37;1403.33;1398.23
1623.28;1624.41;1620.57
1588.46;1619.85;1615.64
1631.71;1619.37;1613.95
1611.71;1626.87;1620.23
1673.28;1655.87;1658.79
903.90;903.57;898.99
1067.98;1098.77;1100.75
1387.06;1365.57;1363.54
777.63;779.30;776.55
1160.50;1136.73;1133.47
940.03;912.98;904.80
1196.20;1236.24;1227.90
729.25;709.67;701.28
1318.08;1359.43;1360.32
1359.57;1354.38;1353.78
1089.17;1086.70;1085.31
1465.43;1480.38;1481.51
1483.82;1504.22;1505.50
1428.91;1440.21;1442.29
816.60;832.14;833.19
1417.00;1436.69;1438.08
1092.49;1125.97;1128.28
1090.38;1147.14;1145.95
1349.54;1349.52;1350.46
1277.52;1350.52;1351.28
1281.43;1310.29;1312.86
1196.07;1230.07;1231.88
1044.23;1064.86;1066.70
1049.37;1044.12;1045.74
1353.82;1346.23;1343.29
1349.05;1350.33;1350.95
1182.51;1193.13;1194.71
1347.48;1369.99;1372.35
1218.54;1261.30;1260.73
1298.30;1315.83;1323.46
834.23;841.38;839.76
725.47;749.21;753.17
1585.25;1603.05;1606.14
1572.69;1643.04;1646.12
1498.82;1544.32;1553.40
1358.57;1370.76;1369.40
1291.90;1363.34;1366.83
377.56;390.51;384.86
457.08;465.84;465.48
1192.54;1196.49;1199.63
1365.10;1372.38;1374.85
369.15;460.68;459.16
843.77;809.51;808.87
1293.60;1268.67;1267.54
1304.91;1361.14;1363.09
1472.80;1491.79;1490.68
1133.62;1138.07;1141.18
360.86;439.09;448.72
1104.75;1147.51;1153.59
1251.85;1271.88;1275.13
1219.71;1263.07;1269.87
1329.11;1379.80;1385.27
1336.61;1341.75;1336.52
918.59;901.81;893.57
1340.72;1340.78;1335.11
921.45;921.84;919.77
1328.66;1349.04;1349.65
1331.09;1292.83;1295.30
949.48;1008.42;1010.13
859.11;896.71;898.96
1355.23;1427.00;1428.64
1366.47;1410.89;1416.01
1260.67;1317.66;1322.64
1230.12;1256.51;1260.50
1240.04;1320.38;1329.14
1341.04;1380.07;1397.20
999.81;1125.91;1122.37
1293.15;1288.60;1283.15
867.95;909.79;918.32
1333.87;1369.43;1375.81
1313.62;1320.24;1315.43
1191.84;1242.66;1251.46
536.85;594.33;593.32
741.15;752.20;753.86
1313.11;1373.29;1373.29
489.54;562.25;557.76
991.18;955.61;957.81
1485.35;1560.62;1567.34
1354.20;1432.85;1438.69
1538.48;1624.47;1641.09
1583.33;1621.57;1627.71
1404.54;1440.67;1444.67
838.51;846.71;851.84
854.91;858.24;861.17
1218.06;1299.72;1305.93
1150.77;1171.85;1171.64
1212.44;1245.08;1247.48
1126.93;1189.99;1191.33
1128.40;1162.75;1165.36
1063.20;1089.95;1091.58
1095.16;1113.40;1117.07
1048.06;1073.13;1075.63
1089.45;1121.57;1119.39
1215.95;1238.59;1237.27
1196.87;1228.48;1232.21
1021.36;1040.94;1042.61
728.48;623.49;621.92
1245.51;1269.50;1269.87
1360.22;1343.52;1346.65
1021.57;989.83;992.39
