Valores_no_ajustados;Modelo_inv_Fijos;Modelo_inv_Restringidos
1445.63;1380.89;1380.49
1414.29;1365.38;1366.90
1115.62;1106.74;1107.46
1421.25;1408.64;1409.70
1376.68;1359.19;1359.39
1392.04;1398.65;1398.78
1267.64;1325.22;1324.14
894.34;915.43;914.96
1420.85;1401.50;1401.85
1406.03;1390.21;1390.68
246.73;321.99;321.24
1472.52;1447.35;1447.41
885.90;876.19;875.96
1003.04;1063.42;1061.54
1258.07;1306.13;1305.68
0.44;-4.25;-3.52
1238.45;1211.37;1210.80
1393.43;1381.08;1379.67
1007.96;1009.39;1008.26
1428.59;1424.92;1423.83
1418.65;1473.63;1472.47
1420.54;1410.91;1409.18
1434.67;1429.66;1430.04
1433.29;1430.09;1428.85
1414.00;1415.15;1415.38
1240.44;1265.68;1265.10
1455.72;1491.94;1491.39
1436.07;1485.43;1484.79
1416.64;1490.27;1488.71
1423.36;1518.04;1517.09
1427.37;1517.79;1516.15
1431.09;1418.30;1418.21
1361.18;1380.51;1379.86
1376.04;1397.26;1396.88
1453.41;1442.16;1442.17
1411.49;1399.79;1399.80
1434.78;1420.30;1420.49
1427.98;1418.96;1418.99
1162.40;1162.41;1162.44
1455.16;1443.33;1443.66
1321.35;1344.35;1343.76
1390.74;1389.14;1389.09
1431.79;1434.06;1434.04
1450.55;1420.50;1420.55
1443.84;1415.22;1415.37
1433.83;1419.32;1419.64
1377.27;1364.37;1364.44
1227.68;1297.38;1295.80
1353.08;1371.49;1371.13
1324.93;1336.48;1336.13
1389.18;1388.35;1388.54
1438.32;1430.05;1429.68
1437.34;1433.35;1434.76
1453.16;1426.22;1425.58
1453.08;1430.28;1430.92
1443.64;1420.91;1421.75
1442.36;1428.54;1428.96
1451.42;1428.88;1430.63
1456.35;1425.33;1424.70
1422.92;1406.24;1406.67
1168.04;1257.44;1255.08
1356.34;1349.96;1349.37
1361.02;1355.45;1355.86
1378.15;1375.31;1375.53
0.45;-31.24;-31.57
449.76;476.19;475.86
1279.25;1328.01;1326.91
1450.78;1443.56;1443.76
1256.02;1321.65;1320.45
1426.65;1411.91;1412.25
1285.28;1306.34;1308.08
1462.57;1438.07;1439.11
1464.89;1375.83;1375.95
1449.79;1399.75;1400.81
1448.40;1414.10;1414.84
1129.33;1239.72;1237.23
823.63;913.44;910.97
1436.44;1498.07;1496.83
1462.73;1505.68;1505.20
1488.55;1491.37;1491.33
1479.21;1469.42;1469.74
1464.01;1468.39;1468.61
1478.63;1474.96;1475.27
1457.31;1447.79;1447.96
1463.29;1421.22;1421.98
1333.26;1241.93;1242.46
1477.00;1461.13;1461.73
1486.59;1427.04;1428.48
1451.09;1427.30;1430.64
1426.40;1399.01;1397.91
2645.00;1500.40;1493.98
1498.03;1465.40;1466.92
1494.35;1450.62;1451.58
1478.40;1435.64;1434.19
1477.75;1445.13;1446.70
1486.70;1447.04;1446.54
747.13;730.32;730.45
1485.39;1457.84;1457.59
1087.15;1147.05;1145.04
1458.03;1461.46;1461.70
1497.00;1464.06;1465.19
1480.76;1429.34;1430.20
1257.20;1215.22;1218.42
1446.33;1437.18;1438.18
1467.44;1461.34;1461.96
1477.31;1454.05;1454.82
1486.78;1471.14;1471.50
1495.95;1473.38;1474.40
1502.55;1472.63;1472.28
1472.17;1443.01;1443.19
1425.88;1384.58;1384.38
1220.93;1180.74;1180.77
1474.19;1455.11;1455.12
1491.89;1455.73;1456.14
1314.38;1282.62;1282.70
1256.86;1286.13;1284.84
1411.74;1431.73;1431.00
1478.70;1448.90;1449.27
681.74;694.69;694.26
1100.20;1118.86;1118.31
1474.87;1434.34;1434.15
1465.87;1431.45;1431.82
1467.33;1439.85;1440.21
