Valores_no_ajustados;Modelo_inv_Fijos;Modelo_inv_Restringidos
1511.87;1545.73;1546.05
1517.54;1584.21;1593.55
972.53;987.39;991.91
1569.88;1610.39;1616.84
1030.72;1028.61;1029.49
1566.63;1589.52;1590.30
1104.44;1112.79;1111.58
1551.08;1574.41;1575.76
1553.66;1581.73;1585.01
1219.70;1252.14;1256.05
1545.17;1559.11;1558.73
972.76;982.66;984.20
1445.34;1463.78;1464.43
753.37;750.11;745.18
1554.82;1596.77;1594.65
484.99;512.58;516.55
1580.63;1603.39;1602.38
1386.37;1386.40;1381.13
1623.28;1634.19;1630.22
1588.46;1617.81;1613.47
1631.71;1707.35;1701.77
1611.71;1622.00;1615.14
1673.28;1706.92;1709.95
903.90;903.00;898.25
1067.98;1099.19;1101.25
1387.06;1421.64;1419.55
777.63;797.48;794.66
1160.50;1189.55;1186.18
940.03;1012.13;1003.70
1196.20;1292.10;1283.50
729.25;774.60;765.93
1318.08;1343.20;1344.14
1359.57;1364.36;1363.75
1089.17;1092.77;1091.33
1465.43;1490.18;1491.36
1483.82;1507.47;1508.81
1428.91;1449.62;1451.78
816.60;835.68;836.78
1417.00;1449.31;1450.76
1092.49;1120.48;1122.89
1090.38;1140.82;1139.62
1349.54;1374.84;1375.83
1277.52;1352.81;1353.63
1281.43;1315.34;1318.02
1196.07;1234.71;1236.60
1044.23;1052.82;1054.72
1049.37;1048.45;1050.12
1353.82;1346.64;1343.59
1349.05;1352.64;1353.29
1182.51;1196.21;1197.86
1347.48;1375.15;1377.60
1218.54;1268.15;1267.60
1298.30;1342.43;1350.34
834.23;842.70;841.03
725.47;749.96;754.08
1585.25;1632.55;1635.76
1572.69;1622.59;1625.79
1498.82;1556.06;1565.48
1358.57;1376.38;1374.98
1291.90;1344.04;1347.68
377.56;361.32;355.47
457.08;470.81;470.45
1192.54;1204.03;1207.28
1365.10;1377.28;1379.85
369.15;449.29;447.78
843.77;830.99;830.32
1293.60;1292.59;1291.42
1304.91;1370.41;1372.45
1472.80;1494.13;1492.99
1133.62;1151.64;1154.86
360.86;429.47;439.47
1104.75;1156.78;1163.11
1251.85;1274.60;1277.97
1219.71;1227.94;1234.99
1329.11;1345.62;1351.29
1336.61;1359.67;1354.28
918.59;962.32;953.82
1340.72;1415.18;1409.34
921.45;966.78;964.66
1328.66;1377.88;1378.54
1331.09;1339.19;1341.74
949.48;992.34;994.13
859.11;892.92;895.27
1355.23;1435.44;1437.17
1366.47;1424.84;1430.17
1260.67;1313.31;1318.50
1230.12;1258.75;1262.88
1240.04;1230.52;1239.58
1341.04;1380.17;1397.90
999.81;1117.90;1114.32
1293.15;1295.49;1289.89
867.95;911.26;920.10
1333.87;1364.78;1371.41
1313.62;1314.24;1309.27
1191.84;1240.46;1249.59
536.85;609.21;608.22
741.15;771.33;773.07
1313.11;1378.46;1378.51
489.54;497.94;493.31
991.18;1020.88;1023.18
1485.35;1543.75;1550.73
1354.20;1403.79;1409.88
1538.48;1584.45;1601.67
1583.33;1617.67;1624.05
1404.54;1441.75;1445.90
838.51;876.92;882.25
854.91;871.70;874.74
1218.06;1263.43;1269.89
1150.77;1175.67;1175.47
1212.44;1261.31;1263.83
1126.93;1180.77;1182.20
1128.40;1171.09;1173.81
1063.20;1092.79;1094.50
1095.16;1127.50;1131.31
1048.06;1077.54;1080.15
1089.45;1125.89;1123.66
1215.95;1256.53;1255.19
1196.87;1233.53;1237.41
1021.36;1040.65;1042.40
728.48;631.85;630.19
1245.51;1275.46;1275.87
1360.22;1351.75;1354.99
1021.57;1023.19;1025.85
