Valores_no_ajustados;Modelo_inv_Fijos;Modelo_inv_Restringidos
5.68;5.78;5.69
4.05;4.36;4.09
6.39;6.50;6.40
5.71;5.89;5.73
6.20;5.86;6.20
5.90;5.73;5.90
4.58;4.45;4.56
3.98;3.97;3.98
6.01;6.11;6.02
5.54;5.66;5.56
1.82;1.45;1.81
6.48;6.56;6.49
5.00;5.02;5.00
6.04;5.82;6.02
5.73;5.60;5.72
0.48;0.58;0.50
4.56;4.57;4.56
5.58;5.46;5.57
5.67;5.56;5.65
5.00;4.78;4.99
5.11;4.85;5.08
6.32;6.16;6.30
6.69;6.77;6.70
6.04;5.93;6.03
7.09;7.12;7.09
7.26;7.17;7.25
7.69;7.51;7.67
7.84;7.69;7.83
8.05;7.65;8.01
5.23;4.18;5.19
4.82;4.47;4.78
5.31;5.35;5.31
5.28;5.22;5.27
3.73;3.57;3.72
4.57;4.60;4.57
5.15;5.19;5.15
4.95;5.02;4.96
6.23;6.26;6.23
5.90;5.94;5.91
5.14;5.22;5.15
5.91;5.84;5.90
5.71;5.73;5.71
5.54;5.54;5.54
5.40;5.50;5.41
5.60;5.56;5.61
5.66;5.48;5.67
5.44;5.30;5.45
5.04;4.85;5.02
5.12;5.01;5.12
4.82;4.84;4.83
5.05;5.10;5.05
5.12;5.12;5.12
5.36;5.56;5.39
5.44;5.43;5.44
5.79;5.89;5.80
5.67;5.30;5.69
5.73;5.82;5.74
6.07;6.25;6.10
6.60;6.61;6.60
6.72;6.83;6.74
5.42;5.10;5.38
6.15;6.15;6.15
5.91;6.00;5.92
5.80;5.86;5.81
0.01;0.02;0.01
2.43;2.33;2.42
6.88;6.75;6.87
6.96;7.02;6.97
7.41;7.27;7.40
5.88;5.99;5.89
5.67;5.88;5.70
6.61;6.80;6.63
6.71;6.93;6.73
6.91;7.16;6.94
6.94;7.13;6.96
6.64;6.32;6.60
6.35;5.99;6.31
7.34;7.09;7.31
7.77;7.65;7.76
8.11;8.12;8.11
8.49;8.57;8.50
8.22;8.25;8.22
9.70;9.76;9.71
9.30;9.36;9.31
8.82;9.01;8.84
7.86;8.13;7.89
9.20;9.32;9.21
9.23;9.55;9.27
9.77;10.24;9.83
9.18;9.13;9.17
8.99;10.59;9.15
7.75;8.02;7.78
8.81;9.03;8.83
9.02;8.96;9.01
8.11;8.38;8.14
10.48;10.52;10.48
5.15;5.21;5.16
10.21;10.25;10.21
6.79;6.58;6.77
10.36;10.41;10.37
10.28;10.51;10.31
9.81;10.04;9.84
8.50;8.99;8.56
9.97;10.13;9.99
9.53;9.64;9.55
10.10;10.27;10.12
10.47;10.57;10.48
10.01;10.21;10.04
10.20;10.24;10.21
10.00;10.11;10.02
11.06;11.16;11.07
9.84;9.97;9.86
11.08;11.15;11.08
11.48;11.63;11.50
9.68;9.79;9.69
8.71;8.60;8.70
10.63;10.56;10.62
11.57;11.71;11.58
5.19;5.20;5.19
8.65;8.58;8.65
11.84;11.91;11.85
12.28;12.42;12.30
12.99;13.10;13.00
