Valores_no_ajustados;Modelo_inv_Fijos;Modelo_inv_Restringidos
9.20;9.20;9.20
8.74;8.88;8.93
5.04;5.11;5.13
8.00;8.09;8.12
5.26;5.27;5.28
7.88;7.89;7.89
5.59;5.57;5.56
7.44;7.45;7.46
7.63;7.67;7.69
6.02;6.07;6.09
7.52;7.51;7.51
4.84;4.87;4.87
6.88;6.88;6.89
3.82;3.74;3.72
7.71;7.66;7.65
2.30;2.36;2.38
7.36;7.34;7.33
7.06;6.97;6.95
7.90;7.83;7.81
7.29;7.21;7.19
7.41;7.30;7.28
7.50;7.38;7.35
7.20;7.24;7.25
4.06;3.98;3.96
5.16;5.18;5.19
12.37;12.33;12.32
8.84;8.79;8.78
10.08;10.02;10.01
9.30;9.14;9.10
11.25;11.09;11.05
6.29;6.14;6.10
7.52;7.53;7.53
5.55;5.54;5.53
4.34;4.32;4.31
6.00;6.01;6.02
6.28;6.30;6.30
6.00;6.03;6.04
3.48;3.49;3.50
6.04;6.06;6.06
4.43;4.46;4.47
4.33;4.30;4.29
5.33;5.34;5.34
5.70;5.69;5.70
5.44;5.47;5.48
5.55;5.58;5.59
4.64;4.67;4.68
4.52;4.55;4.56
6.31;6.26;6.25
6.38;6.38;6.39
5.46;5.48;5.49
6.88;6.91;6.93
7.35;7.33;7.33
7.71;7.83;7.87
6.62;6.58;6.58
4.72;4.78;4.80
6.78;6.82;6.83
7.50;7.54;7.55
7.19;7.34;7.38
6.76;6.73;6.72
14.10;14.15;14.17
4.21;4.11;4.08
2.28;2.27;2.27
5.76;5.81;5.83
7.71;7.75;7.76
1.80;1.76;1.76
3.82;3.81;3.81
6.38;6.36;6.35
7.04;7.05;7.06
6.39;6.36;6.36
5.02;5.07;5.09
2.01;2.15;2.20
6.13;6.22;6.25
7.03;7.08;7.09
6.84;6.95;6.99
6.70;6.79;6.82
7.77;7.67;7.64
4.88;4.73;4.69
7.94;7.83;7.80
5.88;5.83;5.82
10.22;10.22;10.22
6.79;6.83;6.85
5.37;5.39;5.40
7.50;7.53;7.54
11.25;11.26;11.27
9.60;9.67;9.70
8.28;8.35;8.38
7.64;7.70;7.72
7.76;7.91;7.95
8.50;8.78;8.87
12.07;11.99;11.97
19.31;19.19;19.16
7.39;7.53;7.57
8.89;8.99;9.02
8.85;8.76;8.74
8.32;8.46;8.50
4.53;4.50;4.50
5.06;5.08;5.09
8.52;8.50;8.50
4.57;4.48;4.46
6.61;6.64;6.65
10.48;10.59;10.62
9.23;9.32;9.35
10.45;10.72;10.80
10.68;10.78;10.81
9.64;9.70;9.72
6.92;7.00;7.02
6.80;6.84;6.86
8.36;8.46;8.49
7.45;7.44;7.44
8.10;8.13;8.14
8.12;8.13;8.14
7.48;7.51;7.53
7.74;7.76;7.76
7.78;7.84;7.86
7.60;7.64;7.65
8.30;8.25;8.24
9.42;9.39;9.38
9.50;9.55;9.57
8.36;8.38;8.39
5.51;5.50;5.49
9.96;9.96;9.96
11.30;11.35;11.37
8.27;8.31;8.33
