Valores_no_ajustados;Modelo_inv_Fijos;Modelo_inv_Restringido
52.92;52.99;52.97
50.15;48.16;47.53
23.42;22.47;22.16
18.42;17.04;16.61
8.76;8.56;8.50
13.92;13.81;13.76
5.47;5.84;5.92
11.63;11.44;11.36
12.90;12.25;12.03
16.58;15.79;15.53
35.64;35.82;35.85
5.76;5.43;5.33
4.15;4.10;4.06
0.85;2.05;2.39
1.48;2.07;2.22
2.33;1.52;1.25
12.76;13.07;13.14
5.44;6.70;7.07
1.07;2.08;2.36
-17.38;-16.26;-15.96
-69.40;-67.88;-67.49
-5.08;-3.42;-2.94
-5.22;-5.81;-6.02
-2.50;-1.37;-1.05
-2.24;-2.61;-2.75
-17.99;-17.39;-17.24
-24.17;-23.44;-23.25
-53.20;-52.40;-52.17
-50.52;-48.31;-47.73
-85.60;-83.38;-82.78
-54.12;-51.99;-51.39
-6.49;-6.61;-6.67
-1.99;-1.76;-1.72
-0.03;0.31;0.41
-2.89;-3.06;-3.13
0.33;0.11;0.02
-0.99;-1.41;-1.56
1.72;1.54;1.47
9.60;9.35;9.26
3.16;2.72;2.56
5.97;6.42;6.51
1.75;1.60;1.54
4.19;4.25;4.20
0.43;-0.06;-0.24
-1.12;-1.43;-1.56
0.50;0.10;-0.03
1.44;1.07;0.96
4.18;4.93;5.14
4.46;4.35;4.31
2.76;2.47;2.36
1.69;1.22;1.06
-1.15;-0.89;-0.86
1.02;-0.72;-1.26
5.73;6.19;6.30
6.33;5.47;5.19
3.75;3.14;2.92
4.80;4.21;3.99
2.23;0.21;-0.43
5.99;6.39;6.49
10.04;9.38;9.14
2.33;3.72;4.12
3.52;3.68;3.70
3.70;2.97;2.75
4.09;3.56;3.38
1.82;2.36;2.43
4.25;4.39;4.43
1.57;1.91;1.99
-2.23;-2.49;-2.63
-2.83;-2.44;-2.35
1.19;0.47;0.25
0.57;-1.51;-2.19
7.36;6.02;5.58
6.23;5.54;5.31
36.03;34.47;33.99
22.66;21.38;21.00
-11.40;-9.95;-9.57
-59.06;-56.89;-56.31
-68.36;-66.78;-66.37
-29.47;-28.84;-28.69
-18.57;-18.56;-18.61
3.25;2.65;2.48
0.16;-0.07;-0.19
9.29;8.86;8.70
0.72;0.55;0.43
8.38;7.34;6.98
15.17;14.15;13.80
14.55;13.69;13.41
51.79;49.67;49.05
10.31;6.32;5.11
15.44;16.57;16.79
17.67;19.33;19.72
11.42;9.51;8.90
15.34;13.92;13.47
13.27;14.47;14.81
6.88;4.90;4.28
4.24;4.65;4.69
4.98;4.69;4.57
5.13;5.30;5.28
2.50;3.67;3.99
4.82;4.39;4.23
10.15;8.70;8.21
33.39;32.12;31.69
56.51;52.64;51.46
16.81;15.47;15.04
11.62;10.78;10.50
3.87;2.76;2.40
1.73;1.08;0.87
4.94;3.59;3.15
5.62;5.71;5.73
6.27;5.89;5.72
9.75;9.58;9.47
6.15;5.68;5.49
5.01;4.72;4.60
6.81;6.04;5.78
4.77;4.28;4.10
-14.20;-13.51;-13.36
-19.25;-18.79;-18.69
5.46;4.68;4.41
4.42;4.14;4.03
2.12;2.23;2.34
3.62;3.59;3.54
0.34;-0.41;-0.64
-1.25;-1.85;-2.03
