Valores_no_ajustados;Modelo_inv_Fijos;Modelo_inv_Restringidos
62.08;61.86;61.86
60.41;59.76;59.62
31.51;31.26;31.19
18.67;18.29;18.19
12.57;12.47;12.46
14.16;14.14;14.13
7.71;7.97;7.99
7.54;7.55;7.53
13.63;13.41;13.36
21.71;21.47;21.41
6.22;6.49;6.49
8.86;8.69;8.67
2.67;2.61;2.60
1.25;1.72;1.79
1.34;1.61;1.64
0.02;-0.19;-0.25
11.41;11.38;11.39
6.19;6.44;6.52
0.80;1.03;1.08
-17.51;-17.29;-17.23
-75.05;-74.58;-74.50
-5.35;-5.01;-4.91
-5.27;-5.44;-5.48
-4.40;-4.16;-4.09
-3.26;-3.36;-3.39
-15.52;-15.32;-15.29
-39.16;-38.89;-38.85
-56.62;-56.29;-56.24
-74.28;-73.59;-73.46
-92.98;-92.23;-92.10
-95.41;-94.66;-94.53
-6.29;-6.38;-6.39
-2.15;-2.04;-2.03
-0.04;0.10;0.12
-2.79;-2.88;-2.90
0.34;0.23;0.21
-1.06;-1.22;-1.25
3.14;3.06;3.05
8.04;7.96;7.94
3.74;3.58;3.55
6.96;7.10;7.12
1.82;1.76;1.75
4.45;4.43;4.42
0.46;0.23;0.19
-1.12;-1.31;-1.34
0.50;0.36;0.33
1.44;1.32;1.29
4.18;4.58;4.62
4.46;4.49;4.48
2.76;2.72;2.70
1.69;1.56;1.53
-1.15;-1.15;-1.15
1.02;0.59;0.47
5.73;5.74;5.76
6.33;6.04;5.98
3.75;3.51;3.46
4.80;4.59;4.54
2.23;1.66;1.52
5.99;5.96;5.99
10.04;9.80;9.75
2.33;2.95;3.03
3.52;3.52;3.53
3.70;3.51;3.46
4.09;3.95;3.91
1.82;1.79;1.80
4.25;4.38;4.39
1.57;1.81;1.82
-2.23;-2.35;-2.38
-2.83;-2.54;-2.53
1.19;0.97;0.92
0.57;0.12;-0.03
7.36;6.95;6.85
52.04;51.57;51.53
39.78;39.26;39.16
21.67;21.26;21.17
-11.88;-11.20;-11.13
-57.86;-57.11;-56.99
-71.92;-71.41;-71.33
-48.10;-47.85;-47.82
-22.23;-22.25;-22.26
-1.52;-1.69;-1.73
-5.96;-6.02;-6.05
1.63;1.49;1.46
1.66;1.54;1.52
12.95;12.54;12.46
11.47;10.90;10.83
8.43;8.17;8.11
50.48;49.81;49.67
10.93;9.93;9.67
15.05;15.14;15.18
16.31;12.93;13.03
13.27;12.70;12.57
15.34;14.86;14.76
12.70;12.83;12.91
6.60;6.02;5.88
6.65;6.56;6.57
4.71;4.57;4.54
5.03;4.94;4.94
4.23;4.68;4.74
7.30;7.20;7.16
9.91;9.43;9.33
32.74;32.25;32.16
47.06;46.02;45.76
16.09;15.73;15.64
11.27;11.04;10.98
5.76;5.41;5.33
2.45;2.25;2.20
4.69;4.29;4.19
5.24;5.14;5.15
5.89;5.68;5.64
9.16;8.96;8.93
5.84;5.58;5.54
6.17;6.02;5.99
8.11;7.80;7.74
4.35;4.12;4.08
-11.85;-11.62;-11.59
-19.08;-18.94;-18.92
5.39;5.10;5.04
2.37;2.33;2.30
3.68;3.83;3.85
3.71;3.56;3.54
0.34;0.06;0.02
-1.87;-2.10;-2.14
