Valores_no_ajustados;Modelo_inv_Fijos;Modelo_inv_Restringidos
65.38;64.91;65.30
153.02;115.80;148.16
170.88;153.86;168.63
251.00;225.54;247.68
-177.35;-180.65;-177.79
164.54;161.51;164.15
-199.93;-194.07;-199.19
-255.33;-259.70;-255.92
168.39;155.92;166.75
-56.50;-71.52;-58.47
39.89;42.20;40.17
-68.76;-74.85;-69.56
117.08;115.26;116.83
-889.91;-869.28;-887.24
246.23;254.35;247.30
-465.08;-480.31;-467.08
103.80;107.88;104.34
-20.85;0.75;-18.04
42.76;59.48;44.92
250.65;268.36;252.96
236.82;259.13;239.74
144.43;172.39;148.07
500.29;488.51;498.75
50.67;70.02;53.19
207.45;199.50;206.41
96.91;105.51;98.03
-76.79;-65.40;-75.30
-9.67;2.74;-8.03
-418.42;-384.11;-413.95
264.61;298.01;269.01
-168.38;-134.09;-163.89
117.91;114.70;117.48
52.97;56.66;53.42
-327.66;-322.00;-326.92
-2.91;-6.97;-3.45
105.39;100.52;104.75
366.78;358.51;365.70
-215.73;-219.76;-216.26
289.05;283.28;288.31
81.17;72.24;79.99
-152.07;-146.82;-151.39
3.38;-0.40;2.89
73.90;71.26;73.54
68.13;58.14;66.81
-3.30;-10.47;-4.24
16.76;9.45;15.80
-322.64;-328.93;-323.47
21.31;34.52;23.01
147.16;145.19;146.89
-135.42;-141.07;-136.18
3.18;-6.10;1.96
46.64;48.76;46.90
108.66;76.76;104.51
-633.61;-626.17;-632.66
-490.44;-506.20;-492.51
301.26;288.46;299.59
254.18;241.72;252.55
526.47;489.19;521.60
93.18;99.32;93.97
92.27;78.38;90.45
-1.49;23.03;1.68
-101.02;-98.96;-100.77
-26.53;-39.59;-28.22
141.01;131.27;139.73
-631.62;-626.32;-630.96
-458.22;-455.34;-457.85
412.66;418.37;413.38
479.58;471.85;478.57
189.46;195.16;190.18
225.05;211.92;223.35
-204.50;-243.34;-209.60
-71.05;-96.47;-74.38
118.87;105.81;117.16
164.23;137.06;160.66
-23.94;-46.57;-26.89
-132.69;-109.00;-129.65
-55.21;-20.34;-50.68
18.80;42.33;21.87
-204.47;-195.86;-203.35
-1.50;-3.78;-1.80
79.28;68.58;77.90
-42.19;-48.19;-43.00
102.69;93.61;101.50
81.45;74.65;80.56
202.54;181.79;199.82
-102.74;-122.68;-105.36
90.34;74.24;88.23
-84.60;-120.38;-89.28
121.77;51.63;112.60
-262.06;-248.43;-260.31
62.04;90.30;65.56
-34.81;-69.61;-39.36
137.49;111.64;134.10
146.15;166.54;148.80
67.34;31.10;62.61
-494.06;-490.49;-493.63
-628.71;-635.23;-629.56
93.72;93.45;93.67
-794.24;-774.69;-791.72
-251.06;-259.91;-252.22
308.92;281.23;305.29
467.20;442.93;464.01
492.47;424.01;483.53
633.66;609.07;630.43
406.62;390.51;404.51
-109.38;-130.20;-112.11
-94.79;-106.61;-96.35
126.29;100.93;122.97
57.32;57.74;57.39
98.20;89.35;97.01
-4.00;-9.62;-4.75
-43.35;-53.56;-44.70
-82.09;-88.54;-82.95
75.74;61.02;73.80
-82.79;-92.60;-84.08
-201.95;-192.03;-200.68
40.71;46.66;41.48
39.92;24.72;37.93
-477.51;-483.26;-478.29
-106.49;-99.96;-105.64
49.71;47.77;49.44
139.95;127.38;138.30
212.89;202.57;211.53
